"Año";"Periodo";"A partir del 28 de marzo de 2022 solo recoge casos en población considerada "vulnerable""
"2021";"Día 21 de junio";"3,76"
"2021";"Día 22 de junio";"3,77"
"2021";"Día 23 de junio";"3,77"
"2021";"Día 24 de junio";"3,78"
"2021";"Día 25 de junio";"3,78"
"2021";"Día 26 de junio";"3,78"
"2021";"Día 27 de junio";"3,78"
"2021";"Día 28 de junio";"3,79"
"2021";"Día 29 de junio";"3,8"
"2021";"Día 30 de junio";"3,81"
"2021";"Día 1 de julio";"3,82"
"2021";"Día 2 de julio";"3,83"
"2021";"Día 3 de julio";"3,83"
"2021";"Día 4 de julio";"3,83"
"2021";"Día 5 de julio";"3,87"
"2021";"Día 6 de julio";"3,88"
"2021";"Día 7 de julio";"3,9"
"2021";"Día 8 de julio";"3,92"
"2021";"Día 9 de julio";"3,94"
"2021";"Día 10 de julio";"3,94"
"2021";"Día 11 de julio";"3,94"
"2021";"Día 12 de julio";"3,97"
"2021";"Día 13 de julio";"4,02"
"2021";"Día 14 de julio";"4,04"
"2021";"Día 15 de julio";"4,07"
"2021";"Día 16 de julio";"4,1"
"2021";"Día 17 de julio";"4,1"
"2021";"Día 18 de julio";"4,1"
"2021";"Día 19 de julio";"4,16"
"2021";"Día 20 de julio";"4,19"
"2021";"Día 21 de julio";"4,22"
"2021";"Día 22 de julio";"4,25"
"2021";"Día 23 de julio";"4,28"
"2021";"Día 24 de julio";"4,28"
"2021";"Día 25 de julio";"4,28"
"2021";"Día 26 de julio";"4,34"
"2021";"Día 27 de julio";"4,37"
"2021";"Día 28 de julio";"4,4"
"2021";"Día 29 de julio";"4,42"
"2021";"Día 30 de julio";"4,45"
"2021";"Día 31 de julio";"4,45"
"2021";"Día 1 de agosto";"4,45"
"2021";"Día 2 de agosto";"4,5"
"2021";"Día 3 de agosto";"4,52"
"2021";"Día 4 de agosto";"4,55"
"2021";"Día 5 de agosto";"4,57"
"2021";"Día 6 de agosto";"4,59"
"2021";"Día 7 de agosto";"4,59"
"2021";"Día 8 de agosto";"4,59"
"2021";"Día 9 de agosto";"4,63"
"2021";"Día 10 de agosto";"4,64"
"2021";"Día 11 de agosto";"4,66"
"2021";"Día 12 de agosto";"4,68"
"2021";"Día 13 de agosto";"4,69"
"2021";"Día 14 de agosto";"4,69"
"2021";"Día 15 de agosto";"4,69"
"2021";"Día 16 de agosto";"4,72"
"2021";"Día 17 de agosto";"4,73"
"2021";"Día 18 de agosto";"4,75"
"2021";"Día 19 de agosto";"4,76"
"2021";"Día 20 de agosto";"4,77"
"2021";"Día 21 de agosto";"4,77"
"2021";"Día 22 de agosto";"4,77"
"2021";"Día 23 de agosto";"4,79"
"2021";"Día 24 de agosto";"4,8"
"2021";"Día 25 de agosto";"4,82"
"2021";"Día 26 de agosto";"4,82"
"2021";"Día 27 de agosto";"4,83"
"2021";"Día 28 de agosto";"4,83"
"2021";"Día 29 de agosto";"4,83"
"2021";"Día 30 de agosto";"4,85"
"2021";"Día 31 de agosto";"4,86"
"2021";"Día 1 de septiembre";"4,86"
"2021";"Día 2 de septiembre";"4,87"
"2021";"Día 3 de septiembre";"4,88"
"2021";"Día 4 de septiembre";"4,88"
"2021";"Día 5 de septiembre";"4,88"
"2021";"Día 6 de septiembre";"4,89"
"2021";"Día 7 de septiembre";"4,89"
"2021";"Día 8 de septiembre";"4,9"
"2021";"Día 9 de septiembre";"4,9"
"2021";"Día 10 de septiembre";"4,91"
"2021";"Día 11 de septiembre";"4,91"
"2021";"Día 12 de septiembre";"4,91"
"2021";"Día 13 de septiembre";"4,92"
"2021";"Día 14 de septiembre";"4,92"
"2021";"Día 15 de septiembre";"4,92"
"2021";"Día 16 de septiembre";"4,93"
"2021";"Día 17 de septiembre";"4,93"
"2021";"Día 18 de septiembre";"4,93"
"2021";"Día 19 de septiembre";"4,93"
"2021";"Día 20 de septiembre";"4,94"
"2021";"Día 21 de septiembre";"4,94"
"2021";"Día 22 de septiembre";"4,94"
"2021";"Día 23 de septiembre";"4,94"
"2021";"Día 24 de septiembre";"4,95"
"2021";"Día 25 de septiembre";"4,95"
"2021";"Día 26 de septiembre";"4,95"
"2021";"Día 27 de septiembre";"4,95"
"2021";"Día 28 de septiembre";"4,95"
"2021";"Día 29 de septiembre";"4,96"
"2021";"Día 30 de septiembre";"4,96"
"2021";"Día 1 de octubre";"4,96"
"2021";"Día 2 de octubre";"4,96"
"2021";"Día 3 de octubre";"4,96"
"2021";"Día 4 de octubre";"4,97"
"2021";"Día 5 de octubre";"4,97"
"2021";"Día 6 de octubre";"4,97"
"2021";"Día 7 de octubre";"4,97"
"2021";"Día 8 de octubre";"4,97"
"2021";"Día 9 de octubre";"4,97"
"2021";"Día 10 de octubre";"4,97"
"2021";"Día 11 de octubre";"4,98"
"2021";"Día 12 de octubre";"4,98"
"2021";"Día 13 de octubre";"4,98"
"2021";"Día 14 de octubre";"4,98"
"2021";"Día 15 de octubre";"4,98"
"2021";"Día 16 de octubre";"4,98"
"2021";"Día 17 de octubre";"4,98"
"2021";"Día 18 de octubre";"4,99"
"2021";"Día 19 de octubre";"4,99"
"2021";"Día 20 de octubre";"4,99"
"2021";"Día 21 de octubre";"5"
